Timetstamp	FPA	C9	Sigma	C25	Sigma	D13	Sigma	D25	Sigma	R8	Sigma
1512578896951	22.35	8163.67	1.87083	8163.56	2.02237	8163.31	2.09701	8163.72	1.94765	8162.8	2.14393	29.8386
1512578897971	22.35	8162.33	1.58114	8162.32	1.93046	8161.92	1.75412	8162.48	1.66132	8161.98	2.20906	29.79
1512578899067	22.35	8161.67	2.23607	8161.56	1.98074	8161.31	2.01596	8161.68	1.77294	8161.36	2.39175	29.7592
1512578900091	22.35	8162.56	1.23603	8162.04	1.3687	8162.23	1.42325	8162.08	1.22202	8161.34	2.14708	29.8062
1512578901182	22.34	8162.44	1.23603	8161.84	1.37477	8162	1.58114	8161.88	1.30128	8161.16	2.18663	29.7876
1512578902366	22.35	8162.44	1.23603	8161.84	1.37477	8162	1.58114	8161.88	1.30128	8161.16	2.18663	29.7876
Rebooting
FFC
1512578906756	22.17	8183.44	1.66667	8183.88	1.9218	8184.08	2.06	8183.8	1.87083	8183.59	2.36163	29.7876
1512578907788	22.21	8174.22	1.30171	8173.24	2.0672	8174	1.91485	8173.48	2.08407	8172.6	2.13414	30.1568
1512578908801	22.23	8171.22	2.04803	8170.92	1.97737	8171.62	2.14237	8171.4	2.04124	8170.77	1.80562	30.0448
1512578909857	22.25	8171.89	1.16667	8171.48	1.5843	8171.92	1.70595	8171.64	1.55134	8171.31	1.65729	30.0759
1512578911001	22.27	8173.33	1.73205	8173.4	1.38444	8173.54	1.61325	8173.4	1.44338	8172.9	1.79573	30.1628
1512578912124	22.27	8175.44	1.33333	8174.68	1.77294	8175.62	1.26085	8175.04	1.61967	8175.19	2.02832	30.2205
1512578913200	22.29	8177.78	2.3863	8178.16	2.44404	8178.15	2.57702	8177.96	2.31805	8177.15	2.34736	30.3242
1512578914277	22.3	8177.67	2.12132	8178.32	2.01494	8178.08	2.2532	8178.24	1.98494	8178.74	2.00718	30.3289
1512578915404	22.33	8180.44	1.50923	8180.76	2.36784	8181.23	2.35067	8181.08	2.25315	8181.1	1.96735	30.4388
1512578916496	22.34	8182.44	1.01379	8182.36	1.97653	8182.77	2.16617	8182.52	1.8735	8182.09	2.08604	30.5265
1512578917527	22.36	8182.56	0.726483	8183	1.97906	8183.15	1.67562	8183.32	1.8868	8182.79	1.97681	30.5412
1512578918608	22.36	8182	0.866025	8182	1.75594	8182.38	1.89466	8182.16	1.772	8182.35	1.93655	30.5163
1512578919662	22.37	8181.44	2.00693	8181.52	2.0025	8181.69	2.21302	8181.68	1.99416	8181.78	2.11323	30.5167
1512578920706	22.37	8181.67	1.73205	8181.76	1.73877	8181.85	1.72463	8182.12	1.76352	8182.17	2.18028	30.4877
1512578921735	22.38	8180.56	1.94365	8181.6	1.95789	8181.38	2.2188	8181.44	2.08327	8181.48	2.09432	30.49
1512578922824	22.38	8179.44	1.23603	8180.56	1.68523	8180.38	1.89466	8180.2	1.60728	8180.52	2.03887	30.4402
1512578923897	22.39	8180.67	2.29129	8180.8	2.08167	8181.15	2.23033	8180.64	2.11896	8180.32	1.99703	30.4692
1512578924929	22.41	8177.89	1.90029	8178.44	2.32881	8178.69	2.32324	8178.52	2.20076	8178.82	1.97116	30.4098
1512578926025	22.39	8176.56	1.87824	8176.76	1.96384	8177.15	1.99358	8176.88	2.04776	8177.37	2.15438	30.3391
1512578927041	22.4	8175.89	1.96497	8176.08	1.52534	8176.31	1.88788	8176.12	1.58955	8176.47	1.93123	30.3272
1512578928079	22.4	8175.89	1.45297	8175.4	1.77951	8176.31	1.6525	8175.44	1.89473	8175.43	2.04036	30.3332
1512578929210	22.39	8175.22	1.39443	8175.44	2.02237	8176.08	2.28989	8175.84	1.92959	8176.13	2.12593	30.3025
1512578930233	22.4	8174.78	1.09291	8174.52	1.80555	8175.15	1.90815	8174.68	1.7253	8174.39	1.98703	30.2796
1512578931385	22.39	8173.67	1.58114	8173.52	1.89561	8174.08	1.801	8173.36	1.89033	8173.13	2.00065	30.2385
1512578932411	22.41	8173.11	1.61589	8172.92	2.03961	8173.46	2.22169	8173	2.04124	8172.88	1.82434	30.2179
1512578933423	22.41	8171.78	1.56347	8171.2	1.77951	8171.54	1.89804	8171.52	1.85113	8171.31	1.7335	30.1687
1512578934463	22.4	8169.56	0.726483	8169.08	1.6052	8169.46	1.26592	8169.32	1.57374	8169.8	1.83587	30.0868
1512578935489	22.4	8168.78	1.64148	8168.64	1.41067	8168.85	1.67562	8169.04	1.6452	8169.52	1.9313	30.0517
1512578936500	22.39	8168.22	1.39443	8168.64	1.86815	8168.85	2.26738	8169.12	1.87794	8169.24	1.9271	30.0377
1512578937526	22.39	8167.67	1	8168.2	1.75594	8168.38	2.25605	8168.48	1.75879	8168.36	1.84364	30.0173
1512578938666	22.38	8167.56	1.5899	8167.32	2.01494	8167.85	2.0755	8167.72	1.92614	8167.37	1.87205	30.0068
1512578939727	22.38	8167.33	1.5	8166.44	2.41661	8167.54	2.18386	8166.8	2.3094	8166.37	2.04236	29.9922
1512578940771	22.39	8166.11	1.53659	8165.68	1.34536	8166.08	1.5525	8165.92	1.41185	8165.84	1.99653	29.966
1512578941932	22.39	8163.33	2	8163.4	1.58114	8163.38	1.93815	8163.48	1.5843	8163.56	1.98899	29.8458
1512578943008	22.38	8161.67	1.80278	8161.88	2.10792	8162	2.16025	8162	1.80278	8161.84	2.05145	29.7995
1512578944052	22.38	8160.56	1.50923	8160.76	1.76257	8161.08	1.801	8161	1.73205	8160.77	2.33018	29.7526
1512578945165	22.38	8159.33	1.22474	8159.6	1.84842	8160.15	1.86396	8159.68	1.81934	8159.37	2.4779	29.7163
1512578946214	22.38	8158	1.41421	8158.48	2.12368	8158.77	1.87767	8158.44	2.02237	8158.19	2.35618	29.6598
1512578947262	22.38	8156	1.11803	8156.12	1.85562	8156.62	1.60927	8156.16	1.74833	8156.49	2.17493	29.6195
1512578948286	22.39	8155.56	1.66667	8155.52	2.04369	8155.85	1.86396	8155.56	1.95959	8155.38	2.16702	29.5697
1512578949390	22.37	8154.56	1.01379	8154.84	1.62481	8154.92	1.32045	8154.84	1.51877	8154.81	2.03009	29.5352
1512578950409	22.37	8156.44	1.13039	8156.28	1.36991	8156.69	1.1094	8156.4	1.44338	8155.74	2.05336	29.589
1512578951546	22.36	8154.44	1.66667	8154.84	1.7	8155	1.73205	8154.72	1.69607	8154.93	2.00796	29.5167
1512578952634	22.37	8153.56	1.33333	8153.84	1.62481	8154.08	1.84669	8153.8	1.75594	8154.01	2.11024	29.4782
1512578953642	22.36	8151.56	1.424	8152	2.16025	8152.15	2.44425	8151.96	2.28181	8152.03	2.36607	29.4062
1512578954678	22.36	8151.44	1.23603	8151.6	1.95789	8152.08	1.93484	8151.84	2.30362	8151.93	2.40239	29.4022
1512578955759	22.36	8150.56	0.881917	8150.56	1.68523	8150.85	1.28103	8150.64	1.93391	8151.37	2.29031	29.3703
1512578956789	22.35	8151	1.32288	8151.2	1.80278	8151.15	1.72463	8151.28	1.79165	8151.63	2.16643	29.3798
1512578957811	22.35	8150.56	1.87824	8150.52	2.16256	8150.69	2.46254	8150.44	1.98074	8150.76	1.85831	29.3574
1512578958954	22.34	8150.33	1.22474	8150.4	1.87083	8150.46	1.71345	8150.32	1.70098	8150.63	2.19509	29.3558
1512578960094	22.34	8150	1.80278	8150.12	1.64114	8150.54	1.76141	8150.2	1.65831	8149.83	1.77857	29.331
1512578961176	22.35	8149.67	1.65831	8150.08	1.89121	8150	2.12132	8149.96	2.00998	8149.87	2.2552	29.3479
1512578962255	22.34	8148.56	0.881917	8148.24	1.87705	8148.85	1.77229	8148.32	1.8868	8148.47	1.97391	29.2857
1512578963281	22.34	8148.44	1.13039	8147.92	1.70587	8148.46	1.76141	8148.2	1.63299	8148.55	2.00492	29.2752
1512578964302	22.33	8148.11	1.69148	8147.44	1.85023	8147.92	1.89128	8147.44	1.89473	8147.96	1.90622	29.2633
1512578965340	22.33	8148.56	2.651	8148.56	2.14243	8148.85	2.37508	8148.48	2.04369	8148.54	2.31377	29.2792
1512578966370	22.32	8147.56	1.33333	8147.76	1.69017	8147.92	1.75412	8147.88	1.71561	8148.15	2.18737	29.2315
1512578967412	22.32	8149.44	2.06828	8149.24	1.80924	8149.69	1.93152	8149.4	1.82574	8149.03	2.1781	29.2981
1512578968454	22.32	8148.11	1.45297	8147.76	1.39284	8148.23	1.48064	8147.96	1.56738	8147.75	1.86882	29.2648
1512578969561	22.31	8147.33	1.87083	8146.52	2.4	8147.23	1.96443	8146.76	2.22261	8146.79	2.2177	29.2265
1512578970574	22.31	8147.56	1.50923	8146.88	2.16641	8147.69	1.93152	8147.16	2.15407	8146.77	2.1937	29.2121
1512578971612	22.31	8147.22	1.64148	8147.04	1.56738	8147.62	1.55662	8147.24	1.80924	8147.49	1.97674	29.2265
1512578972683	22.3	8147.33	3	8146.72	2.42418	8147.62	2.72453	8146.88	2.4379	8146.88	2.18692	29.1908
1512578973766	22.31	8147.67	1.93649	8147.6	2.16025	8147.69	1.6525	8147.52	2.12368	8146.94	2.17272	29.228
1512578974791	22.3	8146.56	1.66667	8146.76	1.53514	8146.85	1.46322	8146.76	1.64012	8146.69	2.43773	29.1883
1512578975817	22.3	8146	1.32288	8145.96	1.6452	8146.46	1.45002	8146.2	1.82574	8146.68	2.30457	29.1685
1512578976971	22.29	8147.22	1.98606	8147	1.60728	8147.54	1.8081	8147.24	1.83212	8147.23	2.35242	29.2057
1512578977996	22.29	8146.44	2.45515	8146.76	2.00582	8147.08	2.39658	8147.04	2.09125	8146.95	2.00855	29.1779
1512578979023	22.29	8146.11	1.45297	8146.04	1.98914	8146.77	1.92154	8146.56	2.02237	8145.94	2.22014	29.1595
1512578980274	22.29	8147	2.12132	8146.32	2.62552	8147.15	2.26738	8146.56	2.43379	8146.11	2.22145	29.2042
1512578981310	22.29	8146.78	2.58736	8145.92	2.37908	8146.85	2.51151	8146.28	2.37206	8146	2.16506	29.1833
1512578982312	22.29	8144.56	2.12786	8144.84	2.19241	8145	2.58199	8145.16	2.11503	8145.44	2.11341	29.1105
1512578983337	22.29	8143.67	1.80278	8144.28	2.18937	8144	2.19848	8144.52	1.85113	8145.49	2.32764	29.0724
1512578984395	22.28	8143.67	1.65831	8143.8	1.95789	8143.85	1.90815	8144.16	1.95107	8144.42	2.00671	29.0724
1512578985402	22.28	8143.89	1.36423	8144.48	2.16256	8144.38	1.80455	8144.56	1.73397	8144.98	2.08286	29.0907
1512578986422	22.29	8143.22	0.971825	8143.48	1.29486	8143.54	1.05003	8143.6	1.08012	8143.84	1.72503	29.0803
1512578987470	22.29	8143.56	1.01379	8143	1.87083	8143.69	1.31559	8143.68	1.51987	8143.52	2.21522	29.0433
1512578988580	22.28	8145.89	1.61589	8145.2	2.32737	8145.92	1.70595	8145.88	2.1276	8145.62	2.30645	29.1516
1512578989611	22.28	8144.22	1.48137	8143.84	1.72434	8144.08	1.60528	8144.2	1.60728	8144.6	2.14364	29.0986
1512578990720	22.28	8144.67	1.5	8144.36	1.52425	8144.69	1.49358	8144.72	1.69607	8144.81	2.17381	29.108
1512578991800	22.29	8143.56	1.13039	8143.84	2.0347	8144	1.58114	8144.16	1.97231	8144.61	2.18431	29.0749
1512578992803	22.28	8145	1.22474	8144.92	2.21585	8145.23	1.58923	8145	2.10159	8145.02	2.58899	29.1328
1512578993827	22.27	8143.33	1	8143.48	1.93907	8143.69	1.4367	8143.68	1.99416	8144.17	2.57932	29.067
1512578994849	22.27	8145.22	2.99073	8145.28	2.45832	8145.23	2.5217	8145.36	2.48126	8144.83	2.28297	29.1213
1512578995874	22.27	8145.22	1.56347	8144.72	1.83757	8145.08	1.5525	8144.76	1.87705	8145.03	2.60495	29.1213
1512578996912	22.27	8145.11	1.2693	8145.24	1.56205	8145.38	1.55662	8145.28	1.67133	8145.82	2.22281	29.1253
1512578997920	22.27	8146.33	1.65831	8145.92	1.68127	8146.54	1.45002	8146.2	1.52753	8145.94	2.20602	29.161
1512578999079	22.27	8145	1.5	8144.92	1.63095	8145.31	1.37747	8145	1.65831	8145.07	2.13859	29.1134
1512579000105	22.27	8143.56	1.23603	8143.48	1.55778	8143.69	1.49358	8143.56	1.47422	8143.7	2.11168	29.0684
1512579001139	22.27	8142.89	1.16667	8142.56	1.55671	8143	1.41421	8142.76	1.69017	8142.97	2.07642	29.0383
1512579002142	22.27	8143.11	0.927961	8142.32	1.74929	8142.92	1.25576	8142.76	2.04695	8143.15	2.30335	29.0462
1512579003185	22.26	8143	1.58114	8142.6	2.59808	8142.85	2.26738	8142.8	2.46644	8143.18	2.39862	29.0422
1512579004326	22.27	8143.22	1.30171	8143.52	1.55778	8143.54	1.39137	8143.88	1.9218	8144.7	2.27826	29.0501
1512579005345	22.27	8142.78	1.56347	8143.12	2.40347	8142.92	1.89128	8143.28	2.0108	8143.73	2.31164	29.0462
1512579006359	22.28	8141.78	1.56347	8141.64	1.60416	8141.92	1.65638	8141.76	1.64012	8142.48	2.26406	28.9988
1512579007385	22.27	8139.89	1.16667	8139.96	1.3687	8140.08	1.32045	8140.36	1.60416	8141.72	2.41881	28.9319
1512579008411	22.27	8142.33	1	8141.84	1.43411	8142.23	1.30089	8142.24	1.5885	8142.18	1.99741	29.0329
1512579009448	22.27	8142.44	1.33333	8142.48	1.98158	8142.92	1.60528	8142.72	2.20832	8142.78	2.56261	29.0304
1512579010461	22.27	8143.33	1.58114	8143.6	1.91485	8144	1.91485	8144	2.32737	8143.63	2.51572	29.0541
1512579011487	22.27	8142.22	0.971825	8142.48	1.47535	8142.92	1.60528	8142.88	1.69115	8142.62	2.38226	29.0146
1512579012513	22.27	8142.33	0.707107	8142.12	1.48099	8142.77	1.09193	8142.32	1.7253	8142.36	2.25038	29.0185
1512579013530	22.28	8141.33	1.22474	8141.52	1.55778	8141.77	1.36344	8141.6	1.77951	8142.19	2.3555	28.983
1512579014580	22.27	8141.67	1.58114	8141.56	1.95959	8142.15	1.81871	8141.92	2.23458	8141.8	2.23271	28.9949
1512579015606	22.27	8142	1.58114	8141.52	1.66132	8142.15	1.46322	8141.84	1.99332	8141.93	2.61903	29.0002
1512579016615	22.27	8141.44	1.13039	8141.44	1.85023	8141.54	1.56074	8141.72	1.92614	8141.83	2.46295	28.987
1512579017666	22.27	8140.56	2.12786	8141.08	2.3615	8140.62	1.80455	8140.88	2.14709	8140.85	2.32954	28.9515
1512579018683	22.27	8139.78	1.92209	8139.6	1.68325	8139.85	1.72463	8139.64	1.93391	8139.72	2.31491	28.9279
1512579019692	22.27	8138.44	1.74005	8138.44	1.52971	8138.54	1.61325	8138.68	1.90875	8139.58	2.28578	28.8808
1512579020810	22.27	8141.67	1.22474	8140.48	2.10396	8141.31	1.31559	8140.44	1.89473	8140.23	2.63783	28.9949
1512579021870	22.28	8140.22	1.56347	8140.2	1.58114	8140.15	1.3445	8140.24	1.85472	8140.5	2.48354	28.9555
1512579022896	22.27	8140	0.866025	8139.84	1.72434	8140.23	1.5359	8140.28	1.83757	8140.93	2.13615	28.9437
1512579023937	22.27	8139.78	0.833333	8139.72	1.6207	8140	1.52753	8140.08	2.01908	8140.38	2.29086	28.9279
1512579025049	22.27	8141	1.22474	8140.72	1.56844	8141.38	1.3253	8141.04	1.67033	8140.96	1.85077	28.9712
1512579026169	22.27	8139	1.32288	8139.56	1.44568	8139.54	1.61325	8139.8	1.52753	8139.99	1.95655	28.9004
1512579027241	22.27	8139.11	1.61589	8139.32	1.86458	8139.69	1.93152	8139.52	1.96044	8139.25	2.0591	28.9043
1512579028288	22.27	8138.89	1.69148	8139.36	1.65529	8139	1.73205	8139.44	1.98074	8140.02	2.10029	28.8965
1512579029389	22.27	8139	1.41421	8138.84	1.46287	8139.15	1.67562	8139.24	1.87705	8139.39	2.00241	28.9043
1512579030434	22.27	8140.89	1.05409	8140.56	1.50222	8141.08	1.11516	8140.68	1.4922	8140.11	2.26697	28.9451
1512579031558	22.25	8140.11	1.16667	8140.52	1.55778	8140.69	1.37747	8140.76	1.56205	8140.05	2.34685	28.9268
1512579032586	22.24	8139.89	1.2693	8140.16	1.59896	8140.46	1.61325	8140.36	1.65529	8140.46	1.86508	28.9254
1512579033596	22.25	8141	1.93649	8140.76	1.80924	8141.15	1.81871	8140.92	1.75404	8140.76	1.89511	28.9583
1512579034652	22.25	8140.11	1.2693	8139.28	1.64621	8140.23	1.16575	8139.68	1.8421	8139.95	2.1059	28.9333
1512579035709	22.25	8140.22	1.64148	8140.08	1.52534	8140.62	1.60927	8140.44	1.58325	8140.18	2.00085	28.9242
1512579036787	22.24	8140	1.41421	8139.4	1.47196	8139.92	1.38212	8139.84	1.43411	8139.53	1.84573	28.9163
1512579037840	22.24	8139.11	1.36423	8138.64	1.62993	8139.08	1.60528	8139	1.65831	8139.3	2.04197	28.8888
1512579038883	22.24	8138.56	0.881917	8138.6	1.41421	8138.38	0.869718	8138.76	1.56205	8139.46	2.05137	28.8653
1512579039990	22.24	8139	2	8138.68	1.97315	8139.08	1.89128	8139.04	2.22636	8139.84	2.37537	28.8875
1512579041145	22.23	8138.89	1.83333	8139.04	2.13073	8139.23	1.7867	8139.36	2.05913	8139.78	2.0702	28.8692
1512579042308	22.23	8140.56	2.18581	8140.48	1.91746	8140.69	1.84321	8140.36	1.8	8140.03	1.9146	28.936
1512579043330	22.24	8139.44	1.74005	8139.84	2.35726	8140.08	2.84199	8140.2	2.51661	8140.4	2.14364	28.9085
1512579044541	22.23	8140.11	1.16667	8140.48	1.75879	8140.54	1.76141	8140.72	1.90438	8140.82	1.98254	28.9138
1512579045647	22.24	8140.11	1.16667	8140.48	1.75879	8140.54	1.76141	8140.72	1.90438	8140.82	1.98254	28.9138
1512579046655	22.24	8140.11	1.16667	8140.48	1.75879	8140.54	1.76141	8140.72	1.90438	8140.82	1.98254	28.9203
Rebooting
FFC
1512579050332	22.06	8193.89	2.26078	8193.16	1.8412	8193.46	2.18386	8193.24	1.83212	8192.06	2.70837	28.9203
1512579051604	22.12	8193.89	2.26078	8193.16	1.8412	8193.46	2.18386	8193.24	1.83212	8192.06	2.70837	30.8085
1512579052885	22.14	8193.89	2.26078	8193.16	1.8412	8193.46	2.18386	8193.24	1.83212	8192.06	2.70837	30.815
Rebooting
FFC
1512579056964	22.04	8173.67	1.58114	8173.8	1.32288	8173.77	1.36344	8173.84	1.31276	8173.44	2.61948	30.8281
1512579058048	22.1	8165.78	1.56347	8164.92	1.49778	8165.54	1.45002	8165.04	1.54056	8164.36	2.02373	29.7535
1512579059081	22.16	8163.56	1.23603	8163.04	1.54056	8163.54	1.39137	8163.28	1.74452	8162.96	1.89801	29.713
1512579060128	22.19	8165.67	1.11803	8165.2	1.77951	8165.62	1.60927	8165.4	1.68325	8164.52	2.23162	29.7797
1512579061193	22.23	8166.44	1.13039	8165.92	1.93477	8166.46	1.56074	8166.44	1.70978	8165.68	2.03577	29.8627
1512579062277	22.25	8170	1.22474	8170.32	1.65126	8170.31	1.54837	8170.4	1.60728	8170.38	2.31097	30.0046
1512579063303	22.28	8172.78	0.833333	8172.8	1.55456	8173.08	0.954074	8173.16	1.37477	8173.07	1.95006	30.1299
1512579064344	22.3	8176.11	1.2693	8176.52	2.12368	8176.46	1.39137	8176.4	2.06155	8176.44	2.29534	30.2458
1512579065391	22.32	8176.56	1.23603	8176	1.47196	8176.46	1.19829	8176.16	1.46287	8176.08	2.1514	30.2982
1512579066426	22.35	8178.78	1.39443	8178.08	1.93477	8178.38	1.85016	8178.44	2.02237	8177.21	2.2704	30.3979
1512579067507	22.37	8178.33	2.06155	8178.32	2.13542	8178.23	2.24179	8178.32	2.28619	8176.98	2.22785	30.3924
1512579068533	22.37	8179.56	3.12694	8179.12	2.80357	8179.69	3.06552	8179.6	2.84312	8177.37	2.34619	30.4379
1512579069587	22.39	8178.22	2.3863	8177.96	2.3	8178.15	2.44425	8178.12	2.63502	8176.74	2.26045	30.4135
1512579070648	22.39	8178	1.93649	8177.84	2.05508	8178.31	1.79743	8178	2.25462	8176.33	1.99013	30.397
1512579071808	22.42	8178.11	2.26078	8177.92	2.21585	8178.23	2.20431	8178	2.29129	8176.7	2.1367	30.4098
1512579072863	22.43	8175.78	1.09291	8174.96	2.09125	8175.38	1.7097	8175.08	1.91311	8174.92	1.87893	30.3424
1512579073918	22.43	8176.44	2.00693	8175.4	2.51661	8176.31	2.21302	8175.4	2.51661	8174.3	2.17247	30.3607
1512579075155	22.44	8174.78	1.30171	8174.24	1.42244	8174.54	1.5064	8174.2	1.47196	8173.17	1.75103	30.3053
1512579076180	22.44	8173.22	1.20185	8172.76	1.83212	8173	1.41421	8172.76	1.76257	8172.28	1.90576	30.2541
1512579077206	22.46	8171.78	1.09291	8171.12	1.85562	8171.38	1.19293	8171.36	1.95533	8170.63	1.91061	30.2008
1512579078232	22.45	8169.22	1.48137	8168.64	2.01825	8168.85	1.51911	8168.92	2.23458	8168.61	2.0992	30.1124
1512579079485	22.45	8167.22	2.27913	8166.6	2.08167	8166.62	2.14237	8166.68	2.23084	8166.46	2.36497	30.0331
1512579080499	22.45	8165.78	1.98606	8165.24	2.25979	8165.46	2.14536	8165.64	2.11896	8165.15	2.29656	29.9801
1512579081552	22.45	8162.78	1.20185	8163.4	2.66145	8162.77	1.64083	8163.28	2.15097	8163.05	2.35792	29.8786
1512579082578	22.46	8162.22	2.04803	8162.36	2.70617	8162.15	2.44425	8162.36	2.53114	8161.94	2.59331	29.8867
1512579083706	22.47	8160.33	1.58114	8160.6	2.54951	8160.46	2.10616	8160.72	2.30072	8160.22	2.74323	29.7878
1512579084738	22.47	8159.56	1.81046	8159.32	2.46171	8159.54	1.89804	8159.64	2.27083	8158.99	2.47275	29.7531
1512579085753	22.45	8159.67	1.32288	8158.76	2.04695	8159.31	1.70219	8159.16	2.15407	8158.18	2.44311	29.7653
1512579086779	22.45	8157.33	1.22474	8157.28	1.90438	8157.31	1.31559	8157.56	1.93821	8157.41	2.08749	29.6588
1512579087805	22.45	8155.22	1.20185	8155.6	1.47196	8155.38	1.04391	8155.76	1.71464	8155.69	2.29465	29.6243
1512579088946	22.45	8153.11	1.05409	8153.64	1.86815	8153.46	1.1266	8153.88	1.78699	8153.9	2.14807	29.5136
1512579090007	22.44	8152.44	0.881917	8152.6	2.27303	8152.62	1.3253	8152.88	2.26053	8152.41	2.37482	29.504
1512579091035	22.44	8150.89	1.61589	8151.16	2.42693	8151.23	2.04751	8151.52	2.55147	8151.06	2.41347	29.4217
1512579092122	22.45	8149.78	1.85592	8149.88	2.04776	8149.77	1.87767	8150	2.02073	8149.73	2.38046	29.4002
1512579093159	22.44	8149.56	1.5899	8149.48	2.06398	8149.69	1.79743	8149.88	1.83303	8149.05	2.51307	29.3858
1512579094174	22.45	8148.56	1.5899	8147.88	1.9218	8148.31	1.93152	8148.16	1.90788	8148.18	2.69515	29.3564
1512579095224	22.44	8145.89	1.45297	8146	2.14087	8145.92	1.70595	8146.32	2.24944	8145.81	2.72709	29.269
1512579096250	22.44	8145.22	1.64148	8144.32	2.88271	8144.85	2.03495	8144.84	2.52784	8144.78	2.93277	29.2111
1512579097280	22.44	8144.11	1.53659	8144.36	3.21299	8143.77	2.08782	8144.4	2.69258	8144.44	3.04956	29.1888
1512579098325	22.43	8143.78	1.39443	8143.76	2.31445	8143.54	1.98391	8143.72	2.28254	8143.36	2.66205	29.1888
1512579099349	22.43	8143.67	2.34521	8143.2	2.48328	8143.38	2.32875	8143.52	2.43447	8142.17	2.61143	29.1849
1512579100358	22.42	8141.67	1.58114	8141.56	2.2745	8141.08	2.28989	8141.84	2.4097	8141.11	2.72786	29.0941
1512579101382	22.42	8140.78	2.10819	8140.52	2.21961	8140.46	2.25889	8140.88	2.27889	8140.48	2.72158	29.0601
1512579102387	22.41	8140.33	1.22474	8139.92	1.6563	8140.15	1.51911	8140.12	1.83303	8139.55	2.28865	29.0443
1512579103415	22.42	8141.22	1.7873	8141.24	2.42006	8141.23	1.69085	8141.16	2.13464	8139.38	2.44484	29.0758
1512579104431	22.41	8138.44	2.06828	8138.64	2.19621	8138.46	1.8081	8138.76	1.85472	8138.13	2.38895	28.9711
1512579105553	22.42	8138.44	1.424	8138.36	1.70489	8138.46	1.6641	8138.76	1.80924	8138.3	2.15127	28.9711
1512579106597	22.41	8138.33	1.80278	8137.04	2.28181	8137.69	2.25036	8137.52	2.14321	8137.04	2.31578	28.9672
1512579107753	22.4	8136.89	1.76383	8136.16	2.0347	8136.38	2.10311	8136.68	1.99416	8135.72	2.17334	28.9162
1512579108896	22.41	8134.22	1.98606	8134.24	2.02649	8134.23	1.83275	8134.76	2.08726	8134.75	2.2547	28.8224
1512579109929	22.4	8134.89	2.26078	8134.44	2.51794	8134.69	2.01596	8134.88	1.85562	8134.98	2.50723	28.8433
1512579111053	22.4	8134.67	1.80278	8134.76	1.76257	8134.77	1.58923	8135.08	1.73013	8134.54	2.32509	28.8407
1512579112069	22.4	8133	2	8133.32	1.86458	8133	1.77951	8133.44	1.82757	8133.1	2.18175	28.773
1512579113092	22.38	8132	1.87083	8132.52	2.18174	8132.08	1.801	8132.6	1.87083	8132.72	2.35996	28.7368
1512579114117	22.38	8132	1.65831	8132.28	1.67133	8132	1.47196	8132.2	1.65831	8131.55	2.10132	28.7187
1512579115155	22.37	8131.44	1.66667	8131.32	1.67631	8131.38	1.44559	8131.28	1.59478	8131.01	2.34962	28.6992
1512579116169	22.37	8131.33	1.5	8131.2	1.73205	8131.23	1.42325	8131.36	1.60416	8131.44	2.47218	28.6954
1512579117370	22.37	8130.44	1.87824	8130.12	2.16641	8130.38	1.75777	8130.2	1.77951	8130.25	2.20151	28.6643
1512579118380	22.36	8131.22	2.04803	8131.44	1.87261	8131.54	2.06621	8131.76	2.12681	8132.03	2.18288	28.6928
1512579119406	22.36	8132.33	1.22474	8132.32	1.67631	8132.38	1.19293	8132.64	1.89033	8131.98	2.00769	28.7239
1512579120434	22.35	8130.22	1.30171	8130.4	1.1547	8130.31	1.1094	8130.64	1.31909	8130.51	1.95285	28.663
1512579121465	22.34	8130.67	1.22474	8130.72	1.4	8130.92	1.11516	8131	1.5	8130.53	2.15553	28.6527
1512579122481	22.35	8129.22	1.09291	8129.8	1.63299	8129.62	1.26085	8130	1.63299	8130.42	1.94053	28.632
1512579123490	22.35	8129.22	1.48137	8129.56	1.47422	8129.46	1.45002	8129.8	1.68325	8130.17	2.0523	28.6087
1512579124512	22.34	8130.22	2.48886	8129.68	2.49533	8130.08	2.39658	8129.96	2.38886	8129.31	2.25574	28.6449
1512579125521	22.34	8128	2.29129	8128.28	2.40693	8128.08	2.4311	8128.64	2.73679	8128.78	2.22371	28.5661
1512579126539	22.33	8129.78	1.48137	8129.36	1.86815	8129.69	1.49358	8129.76	2.22261	8128.62	2.24001	28.6216
1512579127565	22.33	8128.89	1.76383	8128.88	2.3331	8128.92	1.5525	8129.16	2.13464	8128.49	2.37197	28.5971
1512579128615	22.32	8127.89	1.45297	8128	2.10159	8127.77	1.69085	8128.2	2.02073	8127.87	2.14058	28.5493
1512579129743	22.33	8127.78	1.71594	8127.2	2.02073	8127.62	1.60927	8127.6	2	8126.76	2.21152	28.5416
1512579130763	22.33	8126	1.32288	8126.4	2.02073	8126.38	1.55662	8126.48	2.0232	8126.32	2.20332	28.4836
1512579131810	22.31	8126.44	1.424	8126.4	2.04124	8126.38	1.60927	8126.52	2.10396	8125.56	2.34916	28.5158
1512579132855	22.32	8123.44	1.424	8124.32	2.03552	8123.69	1.84321	8124.24	2.08726	8124.3	2.13426	28.4155
1512579133878	22.31	8124.67	1.41421	8125.2	2.08167	8125.08	1.97744	8125.2	2.14087	8124.53	2.25935	28.436
1512579134902	22.33	8124.56	1.5899	8124.68	1.95192	8124.92	1.93484	8124.76	2.16564	8124.9	2.5281	28.4335
